symbol,market,signal_date,close,status,status_rank,setup,regime,wyckoff,trigger,direction,zs_zd,zs_zg,entry_price,sl,tp1,tp2,name,sector,notes,engine_version,previous_status,current_status,change_type
600372,HS300,2026-09-08,11.78,ENTRY,3,3B,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,11.17,11.3,11.78,11.22,12.89,13.45,中航机载,nan,,1.8.5-source-port,READY,ENTRY,READY_TO_ENTRY
601727,HS300,2026-09-08,6.74,ENTRY,3,3B,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,6.42,6.68,6.74,6.63,6.95,7.06,上海电气,nan,,1.8.5-source-port,ENTRY,ENTRY,UNCHANGED
000625,HS300,2026-09-08,7.24,ENTRY,3,BRK,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,7.11,7.17,7.24,7.07,7.59,7.76,长安汽车,nan,,1.8.5-source-port,WATCH,ENTRY,WATCH_TO_ENTRY
000100,HS300,2026-09-08,4.76,READY,2,3S,Bearish Zhongshu,Neutral,Bear Micro BOS,SHORT,4.83,5.34,,,,,TCL科技,nan,,1.8.5-source-port,WATCH,READY,WATCH_TO_READY
000657,HS300,2026-09-08,59.86,READY,2,3S,Bearish Zhongshu,Neutral,Waiting,SHORT,62.0,75.5,,,,,中钨高新,nan,,1.8.5-source-port,READY,READY,UNCHANGED
002352,HS300,2026-09-08,31.84,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,32.26,33.69,,,,,顺丰控股,nan,,1.8.5-source-port,READY,READY,UNCHANGED
002460,HS300,2026-09-08,49.09,READY,2,3S,Bearish Zhongshu,Neutral,Bear Micro BOS,SHORT,50.81,55.18,,,,,赣锋锂业,nan,,1.8.5-source-port,READY,READY,UNCHANGED
002466,HS300,2026-09-08,45.59,READY,2,3S,Bearish Zhongshu,Neutral,Waiting,SHORT,45.8,49.8,,,,,天齐锂业,nan,,1.8.5-source-port,READY,READY,UNCHANGED
002709,HS300,2026-09-08,33.67,READY,2,3S,Bearish Zhongshu,Neutral,Bear Micro BOS,SHORT,35.4,40.36,,,,,天赐材料,nan,,1.8.5-source-port,READY,READY,UNCHANGED
300274,HS300,2026-09-08,87.85,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,109.71,122.21,,,,,阳光电源,nan,,1.8.5-source-port,READY,READY,UNCHANGED
300476,HS300,2026-09-08,229.01,READY,2,3S,Bearish Zhongshu,Neutral,Waiting,SHORT,237.07,287.68,,,,,胜宏科技,nan,,1.8.5-source-port,READY,READY,UNCHANGED
300760,HS300,2026-09-08,169.95,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,147.39,162.0,,,,,迈瑞医疗,nan,,1.8.5-source-port,READY,READY,UNCHANGED
300803,HS300,2026-09-08,84.6,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,78.36,84.93,,,,,指南针,nan,,1.8.5-source-port,READY,READY,UNCHANGED
302132,HS300,2026-09-08,62.21,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,56.85,59.6,,,,,中航成飞,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600011,HS300,2026-09-08,6.9,READY,2,3B,Bear Trend,Neutral,Waiting,LONG,6.62,6.81,,,,,华能国际,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600015,HS300,2026-09-08,6.31,READY,2,3S,Bull Trend,Neutral,Waiting,SHORT,6.56,6.69,,,,,华夏银行,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600018,HS300,2026-09-08,5.44,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,5.05,5.29,,,,,上港集团,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600028,HS300,2026-09-08,5.59,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,4.94,5.33,,,,,中国石化,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600066,HS300,2026-09-08,27.91,READY,2,3S,Bear Trend,Neutral,Bear Micro BOS,SHORT,29.58,30.24,,,,,宇通客车,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600111,HS300,2026-09-08,39.04,READY,2,3S,Bearish Zhongshu,Neutral,Waiting,SHORT,39.11,40.96,,,,,北方稀土,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600150,HS300,2026-09-08,39.08,READY,2,3B,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,33.51,34.96,,,,,中国船舶,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600196,HS300,2026-09-08,22.75,READY,2,3S,Bearish Zhongshu,Distrib Watch,Waiting,SHORT,23.57,24.75,,,,,复星医药,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600436,HS300,2026-09-08,123.34,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,128.32,140.33,,,,,片仔癀,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600482,HS300,2026-09-08,34.41,READY,2,3B,Bull Trend,Neutral,Bull Micro BOS,LONG,31.41,33.58,,,,,中国动力,nan,,1.8.5-source-port,ENTRY,READY,ENTRY_TO_READY
600547,HS300,2026-09-08,36.01,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,29.62,32.46,,,,,山东黄金,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600549,HS300,2026-09-08,49.87,READY,2,3S,Bearish Zhongshu,Neutral,Waiting,SHORT,51.06,54.26,,,,,厦门钨业,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600926,HS300,2026-09-08,17.2,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,16.53,16.54,,,,,杭州银行,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600941,HS300,2026-09-08,97.7,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,94.77,97.44,,,,,中国移动,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601318,HS300,2026-09-08,55.7,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,51.17,55.8,,,,,中国平安,nan,,1.8.5-source-port,READY,READY,UNCHANGED
