recorded_at,symbol,market,signal_date,close,status,status_rank,setup,regime,wyckoff,trigger,direction,zs_zd,zs_zg,entry_price,sl,tp1,tp2,name,sector,notes,engine_version,previous_status,current_status,change_type
2026-08-31T22:12:04.838095+00:00,003816,HS300,2026-08-31,4.27,ENTRY,3,3B,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,4.04,4.2,4.27,4.19,4.43,4.51,中国广核,nan,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
2026-08-31T22:12:04.838095+00:00,600803,HS300,2026-08-31,18.29,ENTRY,3,3B,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,17.16,17.86,18.29,17.8,19.27,19.76,新奥股份,nan,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
2026-08-31T22:12:04.838095+00:00,002600,HS300,2026-08-31,12.79,ENTRY,3,2B,Neutral Zhongshu,Neutral,Bull Micro BOS,LONG,12.48,13.06,12.79,11.63,15.12,16.28,领益智造,nan,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
2026-08-31T22:12:04.838095+00:00,600482,HS300,2026-08-31,32.86,ENTRY,3,2B,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,31.41,33.58,32.86,30.64,37.3,39.52,中国动力,nan,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
2026-08-31T22:12:04.838095+00:00,600183,HS300,2026-08-31,153.4,ENTRY,3,BRK,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,126.0,143.48,153.4,138.32,183.56,198.64,生益科技,nan,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
2026-08-31T22:12:04.838095+00:00,600188,HS300,2026-08-31,23.62,ENTRY,3,BRK,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,20.89,22.92,23.62,22.54,25.79,26.87,兖矿能源,nan,,1.8.5-source-port,NONE,ENTRY,NEW_ENTRY
2026-08-31T22:12:04.838095+00:00,000001,HS300,2026-08-31,11.72,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,11.03,11.25,,,,,平安银行,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,000625,HS300,2026-08-31,7.07,READY,2,3S,Bearish Zhongshu,Neutral,Waiting,SHORT,7.11,7.17,,,,,长安汽车,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,000858,HS300,2026-08-31,71.27,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,73.42,76.7,,,,,五粮液,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,001391,HS300,2026-08-31,4.07,READY,2,3S,Bearish Zhongshu,Neutral,Waiting,SHORT,4.16,4.19,,,,,国货航,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,001979,HS300,2026-08-31,6.53,READY,2,3S,Bull Trend,Neutral,Bear Micro BOS,SHORT,6.7,6.73,,,,,招商蛇口,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,002241,HS300,2026-08-31,24.25,READY,2,3B,Bullish Zhongshu,Neutral,Waiting,LONG,22.25,23.87,,,,,歌尔股份,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,002352,HS300,2026-08-31,31.8,READY,2,3S,Bearish Zhongshu,Neutral,Bear Micro BOS,SHORT,32.26,33.69,,,,,顺丰控股,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,002493,HS300,2026-08-31,14.84,READY,2,3B,Bull Trend,Neutral,Bull Micro BOS,LONG,12.38,12.69,,,,,荣盛石化,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,300274,HS300,2026-08-31,91.5,READY,2,3S,Bearish Zhongshu,Neutral,Bear Micro BOS,SHORT,109.71,122.21,,,,,阳光电源,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,300628,HS300,2026-08-31,41.4,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,38.82,40.82,,,,,亿联网络,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,300750,HS300,2026-08-31,363.55,READY,2,3S,Bearish Zhongshu,Neutral,Bear Micro BOS,SHORT,390.5,408.52,,,,,宁德时代,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,300760,HS300,2026-08-31,165.35,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,147.39,162.0,,,,,迈瑞医疗,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,300803,HS300,2026-08-31,85.29,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,78.36,84.93,,,,,指南针,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,300832,HS300,2026-08-31,49.93,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,46.03,49.6,,,,,新产业,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,600015,HS300,2026-08-31,6.23,READY,2,3S,Bull Trend,Neutral,Waiting,SHORT,6.56,6.69,,,,,华夏银行,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,600026,HS300,2026-08-31,19.22,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,16.45,17.99,,,,,中远海能,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,600028,HS300,2026-08-31,5.46,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,4.94,5.33,,,,,中国石化,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,600085,HS300,2026-08-31,23.89,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,24.97,26.44,,,,,同仁堂,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,600196,HS300,2026-08-31,22.36,READY,2,3S,Bull Trend,Distrib Watch,Bear Micro BOS,SHORT,23.57,24.75,,,,,复星医药,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,600276,HS300,2026-08-31,46.07,READY,2,3S,Bearish Zhongshu,Accumulation,Bear Micro BOS,SHORT,52.53,58.0,,,,,恒瑞医药,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,600309,HS300,2026-08-31,76.32,READY,2,3B,Bullish Zhongshu,Neutral,Waiting,LONG,72.48,75.43,,,,,万华化学,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,600436,HS300,2026-08-31,122.13,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,128.32,140.33,,,,,片仔癀,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,600547,HS300,2026-08-31,37.85,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,29.62,32.46,,,,,山东黄金,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-08-31T22:12:04.838095+00:00,600585,HS300,2026-08-31,17.65,READY,2,3B,Bullish Zhongshu,Neutral,Waiting,LONG,17.21,17.73,,,,,海螺水泥,nan,,1.8.5-source-port,NONE,READY,NEW_READY
